nombre_banco,descripcion_tipo_cuenta_contrato,origen,tipo_archivo_recaudo,mean,std,max,min
abu dhabi commercial bank,impuesto predial,n,pagos web,3958629.0,,3958629,3958629
abu dhabi commercial bank,impuesto predial,p,pagos web,558169.1818181818,857039.3260660585,3135853,224933
adcb,impuesto predial,p,pagos web,1672971.0,2307486.0026968746,3304610,41332
advancial f.c.u.,impuesto predial,p,pagos web,1718480.0,0.0,1718480,1718480
aec mexico sa de cv - gstar co,impuesto predial,n,pagos web,11886119.0,,11886119,11886119
aec mexico sa de cv - gstar co,impuesto predial,p,pagos web,3511047.3333333335,3348943.1601363937,7378060,1568593
aeromexico,impuesto predial,p,pagos web,12214674.0,,12214674,12214674
allied irish banks plc,impuesto predial,p,pagos web,15182836.0,,15182836,15182836
altra f.c.u.,impuesto predial,n,pagos web,1390550.0,,1390550,1390550
american airlines f.c.u.,impuesto predial,p,pagos web,4671229.0,4289632.175369819,7704457,1638001
american express,impuesto predial,a,pagos web,334.0,,334,334
american express,impuesto predial,n,pagos web,3248850.0,3468077.4497995283,6973046,111866
american express,impuesto predial,p,pagos web,1623453.75,1876250.2164049556,4124744,1070
american express company,facilidades,n,pagos web,5295461.5,4899398.853256353,12383087,1282114
american express company,facilidades,p,pagos web,957441.2857142857,2166632.9620728497,5870903,138531
american express company,impuesto predial,a,pagos web,2970229.6,2602166.330432165,6883468,600974
american express company,impuesto predial,n,pagos web,3118016.5625,2772155.450811491,8235569,315424
american express company,impuesto predial,p,pagos web,2989346.4563106797,4543650.606919965,21025685,154
american express company,impuesto predial,w,pagos web,516035.0,,516035,516035
american express company,industria y comercio,n,pagos web,7734424.333333333,1349872.099398433,9121451,6425060
american express company,industria y comercio,p,pagos web,110686.0,,110686,110686
american express company us,impuesto predial,p,pagos web,27568532.0,,27568532,27568532
american express idc consumer,impuesto predial,p,pagos web,9896770.0,,9896770,9896770
american express us,impuesto predial,n,pagos web,3934891.2,4814652.22334892,9529456,40954
american express us,impuesto predial,p,pagos web,1704548.6363636365,1910983.4310990542,7312682,1038
american express us consumer,delineación urbana,n,pagos web,13277630.0,,13277630,13277630
american express us consumer,facilidades,a,pagos web,243823.0,,243823,243823
american express us consumer,facilidades,n,pagos web,1337258.5,637209.9829730385,1787834,886683
american express us consumer,facilidades,p,pagos web,5967769.333333333,7143534.906421852,17382713,243823
