index,Banco,Contrato,Origen,Tipo archivo recaudo,Hora,DiaSemana,Total recaudo,Total transacciones
0,abu dhabi commercial bank,impuesto predial,n,pagos web,15,5,3958629,1
1,abu dhabi commercial bank,impuesto predial,p,pagos web,5,5,968443,3
2,abu dhabi commercial bank,impuesto predial,p,pagos web,6,3,224933,1
3,abu dhabi commercial bank,impuesto predial,p,pagos web,9,4,603544,2
4,abu dhabi commercial bank,impuesto predial,p,pagos web,10,3,905316,3
5,abu dhabi commercial bank,impuesto predial,p,pagos web,11,3,301772,1
6,abu dhabi commercial bank,impuesto predial,p,pagos web,14,2,3135853,1
7,adcb,impuesto predial,p,pagos web,0,2,41332,1
8,adcb,impuesto predial,p,pagos web,5,3,3304610,1
9,advancial f.c.u.,impuesto predial,p,pagos web,11,1,3436960,2
10,aec mexico sa de cv - gstar co,impuesto predial,n,pagos web,22,6,11886119,1
11,aec mexico sa de cv - gstar co,impuesto predial,p,pagos web,12,4,1568593,1
12,aec mexico sa de cv - gstar co,impuesto predial,p,pagos web,16,0,7378060,1
13,aec mexico sa de cv - gstar co,impuesto predial,p,pagos web,21,3,1586489,1
14,aeromexico,impuesto predial,p,pagos web,16,4,12214674,1
15,allied irish banks plc,impuesto predial,p,pagos web,18,2,15182836,1
16,altra f.c.u.,impuesto predial,n,pagos web,0,3,1390550,1
17,american airlines f.c.u.,impuesto predial,p,pagos web,11,2,1638001,1
18,american airlines f.c.u.,impuesto predial,p,pagos web,11,3,7704457,1
19,american express,impuesto predial,a,pagos web,13,1,334,1
20,american express,impuesto predial,n,pagos web,15,0,9634684,2
21,american express,impuesto predial,n,pagos web,22,2,111866,1
22,american express,impuesto predial,p,pagos web,8,1,24020,1
23,american express,impuesto predial,p,pagos web,10,1,242612,1
24,american express,impuesto predial,p,pagos web,12,6,485946,1
25,american express,impuesto predial,p,pagos web,13,2,3402003,1
26,american express,impuesto predial,p,pagos web,19,0,1070,1
27,american express,impuesto predial,p,pagos web,21,0,4051450,1
28,american express,impuesto predial,p,pagos web,23,0,655785,1
29,american express,impuesto predial,p,pagos web,23,1,4124744,1
30,american express company,facilidades,n,pagos web,7,3,12383087,1
31,american express company,facilidades,n,pagos web,8,3,4445833,1
32,american express company,facilidades,n,pagos web,9,1,1282114,1
33,american express company,facilidades,n,pagos web,9,2,3070812,1
34,american express company,facilidades,p,pagos web,8,2,5870903,1
35,american express company,facilidades,p,pagos web,10,4,138531,1
36,american express company,facilidades,p,pagos web,11,5,138531,1
37,american express company,facilidades,p,pagos web,13,6,138531,1
38,american express company,facilidades,p,pagos web,16,2,138531,1
39,american express company,facilidades,p,pagos web,18,0,138531,1
40,american express company,facilidades,p,pagos web,18,1,138531,1
41,american express company,impuesto predial,a,pagos web,9,3,6883468,1
42,american express company,impuesto predial,a,pagos web,12,6,4046012,1
43,american express company,impuesto predial,a,pagos web,14,2,2546174,1
44,american express company,impuesto predial,a,pagos web,20,0,1375494,2
45,american express company,impuesto predial,n,pagos web,8,1,1480766,1
46,american express company,impuesto predial,n,pagos web,9,1,2007412,1
47,american express company,impuesto predial,n,pagos web,9,2,2174704,2
48,american express company,impuesto predial,n,pagos web,9,3,1247148,1
49,american express company,impuesto predial,n,pagos web,13,0,3973183,1
