"contrato;periodo;mes;nombre_banco;tipo_archivo_recaudo;total_recaudo;total_transacciones;periodo_mes"
"alumbrado publico;2014;1;no definido;presencial;3578903099;58;2014/1"
"alumbrado publico;2014;1;bbva;presencial;3389268;9;2014/1"
"alumbrado publico;2014;1;bogota;presencial;94003209;10;2014/1"
"alumbrado publico;2014;1;colpatria;presencial;3727652;2;2014/1"
"alumbrado publico;2014;1;davivienda;presencial;1595026;3;2014/1"
"alumbrado publico;2014;1;itau;presencial;2458610;5;2014/1"
"alumbrado publico;2014;1;occidente;presencial;52562300;2;2014/1"
"alumbrado publico;2014;1;popular;presencial;112544;1;2014/1"
"circulacion y transito;2014;1;no definido;presencial;174885967;527;2014/1"
"circulacion y transito;2014;1;bbva;presencial;219810168;16;2014/1"
"circulacion y transito;2014;1;occidente;presencial;300333;75;2014/1"
"circulacion y transito;2014;1;popular;presencial;12911919;3441;2014/1"
"constructores;2014;1;no definido;presencial;351784719;8;2014/1"
"constructores;2014;1;occidente;presencial;32121950;1;2014/1"
"cuotas partes jubilatorias;2014;1;no definido;presencial;318233;1;2014/1"
"deguello de ganado;2014;1;no definido;presencial;90660275;1;2014/1"
"deguello de ganado;2014;1;colpatria;presencial;67427190;1;2014/1"
"delineacion urbana;2014;1;no definido;presencial;1478441493;179;2014/1"
"delineacion urbana;2014;1;av villas;presencial;9195;1;2014/1"
"delineacion urbana;2014;1;bancolombia;presencial;94603;1;2014/1"
"delineacion urbana;2014;1;bogota;presencial;140731870;8;2014/1"
"delineacion urbana;2014;1;caja social;presencial;762835;2;2014/1"
"delineacion urbana;2014;1;colpatria;presencial;73120357;4;2014/1"
"delineacion urbana;2014;1;davivienda;presencial;20478923;4;2014/1"
"delineacion urbana;2014;1;itau;presencial;164940461;3;2014/1"
"delineacion urbana;2014;1;occidente;presencial;124907325;34;2014/1"
"delineacion urbana;2014;1;popular;presencial;222003417;3;2014/1"
"espectaculos publicos;2014;1;no definido;presencial;46851617;5;2014/1"
"espectaculos publicos;2014;1;bancolombia;presencial;67318989;1;2014/1"
"espectaculos publicos;2014;1;bogota;presencial;189930221;4;2014/1"
"espectaculos publicos;2014;1;itau;presencial;1450227;3;2014/1"
"espectaculos publicos;2014;1;popular;presencial;41895142;3;2014/1"
"estampilla procultura;2014;1;no definido;presencial;138245805;6;2014/1"
"estampilla procultura;2014;1;bogota;presencial;4928;1;2014/1"
"estampilla procultura;2014;1;occidente;presencial;3732000;1;2014/1"
"impuesto predial;2014;1;no definido;presencial;25499603547;51940;2014/1"
"impuesto predial;2014;1;agrario;presencial;45332878;127;2014/1"
"impuesto predial;2014;1;av villas;presencial;256674565;1153;2014/1"
"impuesto predial;2014;1;bancolombia;presencial;1915320792;6477;2014/1"
"impuesto predial;2014;1;bbva;presencial;467163162;980;2014/1"
"impuesto predial;2014;1;bogota;presencial;3599691691;6027;2014/1"
"impuesto predial;2014;1;caja social;presencial;449818407;1800;2014/1"
"impuesto predial;2014;1;colpatria;presencial;1092238899;699;2014/1"
"impuesto predial;2014;1;davivienda;presencial;2495194540;5464;2014/1"
"impuesto predial;2014;1;itau;presencial;251351501;537;2014/1"
"impuesto predial;2014;1;occidente;presencial;4774547979;7595;2014/1"
"impuesto predial;2014;1;popular;presencial;309423265;1164;2014/1"
"impuesto predial;2014;1;sudameris;presencial;153366954;735;2014/1"
"impuesto telefonico;2014;1;no definido;presencial;2311798082;2;2014/1"
"industria y comercio;2014;1;no definido;presencial;16888823789;22354;2014/1"
"industria y comercio;2014;1;agrario;presencial;18568743;41;2014/1"
"industria y comercio;2014;1;av villas;presencial;86650613;358;2014/1"
"industria y comercio;2014;1;bancolombia;presencial;5055310819;2889;2014/1"
"industria y comercio;2014;1;bbva;presencial;1035064864;254;2014/1"
"industria y comercio;2014;1;bogota;presencial;4817072938;4193;2014/1"
"industria y comercio;2014;1;caja social;presencial;93307167;702;2014/1"
"industria y comercio;2014;1;colpatria;presencial;122124061;382;2014/1"
"industria y comercio;2014;1;davivienda;presencial;986122809;1878;2014/1"
"industria y comercio;2014;1;itau;presencial;246289936;224;2014/1"
"industria y comercio;2014;1;occidente;presencial;3786850380;2344;2014/1"
"industria y comercio;2014;1;popular;presencial;197185277;424;2014/1"
"industria y comercio;2014;1;sudameris;presencial;179260810;366;2014/1"
"ingresos no tributarios;2014;1;no definido;presencial;4668442156;30829;2014/1"
"ingresos no tributarios;2014;1;av villas;presencial;2834454;20;2014/1"
"ingresos no tributarios;2014;1;bancolombia;presencial;83201591;405;2014/1"
"ingresos no tributarios;2014;1;bbva;presencial;2535556;10;2014/1"
"ingresos no tributarios;2014;1;bogota;presencial;48099345;74;2014/1"
"ingresos no tributarios;2014;1;caja social;presencial;13527562;208;2014/1"
"ingresos no tributarios;2014;1;colpatria;presencial;7821577;5;2014/1"
"ingresos no tributarios;2014;1;davivienda;presencial;412914230;266;2014/1"
"ingresos no tributarios;2014;1;itau;presencial;16766069;4;2014/1"
"ingresos no tributarios;2014;1;occidente;presencial;1504565453;4951;2014/1"
"ingresos no tributarios;2014;1;popular;presencial;3695367973;42857;2014/1"
"ingresos no tributarios;2014;1;sudameris;presencial;501000;2;2014/1"
"otros ingresos;2014;1;no definido;presencial;2058088214;432;2014/1"
"otros ingresos;2014;1;bancolombia;presencial;43830230;16;2014/1"
"otros ingresos;2014;1;bbva;presencial;130746260;20;2014/1"
"otros ingresos;2014;1;bogota;presencial;24196082;15;2014/1"
"otros ingresos;2014;1;caja social;presencial;246146;2;2014/1"
"otros ingresos;2014;1;davivienda;presencial;3589416;6;2014/1"
"otros ingresos;2014;1;occidente;presencial;124985619;16;2014/1"
"otros ingresos;2014;1;popular;presencial;301956818;41;2014/1"
"otros ingresos;2014;1;sudameris;presencial;97216;1;2014/1"
"otros ingresos tributarios;2014;1;bogota;presencial;2282000;1;2014/1"
"publicidad exterior visual;2014;1;no definido;presencial;89754154;437;2014/1"
"publicidad exterior visual;2014;1;av villas;presencial;98000;1;2014/1"
"publicidad exterior visual;2014;1;bbva;presencial;392000;2;2014/1"
"publicidad exterior visual;2014;1;bogota;presencial;18673245;89;2014/1"
"publicidad exterior visual;2014;1;colpatria;presencial;490000;3;2014/1"
"publicidad exterior visual;2014;1;davivienda;presencial;3276454;8;2014/1"
"publicidad exterior visual;2014;1;occidente;presencial;12068091;17;2014/1"
"recursos fonset;2014;1;no definido;presencial;6908161356;17;2014/1"
"recursos fonset;2014;1;bogota;presencial;151459382;8;2014/1"
"recursos fonset;2014;1;davivienda;presencial;152077546;1;2014/1"
"rentas contractuales;2014;1;no definido;presencial;2950470075;307;2014/1"
"rentas contractuales;2014;1;av villas;presencial;736501;3;2014/1"
"rentas contractuales;2014;1;bancolombia;presencial;1171781;6;2014/1"
"rentas contractuales;2014;1;bbva;presencial;21590128;1;2014/1"
"rentas contractuales;2014;1;bogota;presencial;39389573;10;2014/1"
"rentas contractuales;2014;1;caja social;presencial;7040348;50;2014/1"
"rentas contractuales;2014;1;colpatria;presencial;5528046;2;2014/1"
"rentas contractuales;2014;1;davivienda;presencial;5017079;11;2014/1"
"rentas contractuales;2014;1;occidente;presencial;4808458;11;2014/1"
"rentas contractuales;2014;1;popular;presencial;1520665;7;2014/1"
"rentas contractuales;2014;1;sudameris;presencial;1353612;2;2014/1"
"retencion ica;2014;1;no definido;presencial;1190574521;230;2014/1"
"retencion ica;2014;1;agrario;presencial;66000;1;2014/1"
"retencion ica;2014;1;bancolombia;presencial;378000;3;2014/1"
"retencion ica;2014;1;bbva;presencial;41637000;6;2014/1"
"retencion ica;2014;1;bogota;presencial;1206795074;358;2014/1"
"retencion ica;2014;1;caja social;presencial;256000;3;2014/1"
"retencion ica;2014;1;davivienda;presencial;46117000;3;2014/1"
"retencion ica;2014;1;itau;presencial;567000;1;2014/1"
"retencion ica;2014;1;occidente;presencial;577574000;49;2014/1"
"retencion ica;2014;1;popular;presencial;33272000;2;2014/1"
"retencion ica;2014;1;sudameris;presencial;543000;1;2014/1"
"servicios;2014;1;no definido;presencial;171962241;7855;2014/1"
"servicios;2014;1;av villas;presencial;195000;65;2014/1"
"servicios;2014;1;bancolombia;presencial;2910998;162;2014/1"
"servicios;2014;1;bbva;presencial;143738;1;2014/1"
"servicios;2014;1;bogota;presencial;1005756;11;2014/1"
"servicios;2014;1;caja social;presencial;2500;1;2014/1"
"servicios;2014;1;davivienda;presencial;3393746;35;2014/1"
"servicios;2014;1;occidente;presencial;37017878;2436;2014/1"
"servicios;2014;1;popular;presencial;951352305;34963;2014/1"
"servicios;2014;1;sudameris;presencial;246408;1;2014/1"
"sistema de ventas por club;2014;1;no definido;presencial;18019816;23;2014/1"
"sobretasa a la gasolina;2014;1;no definido;presencial;8279523000;10;2014/1"
"transferencias;2014;1;no definido;presencial;9907303624;14;2014/1"
"transferencias;2014;1;bogota;presencial;264657168;16;2014/1"
"transferencias;2014;1;davivienda;presencial;1394900957;2;2014/1"
"transferencias;2014;1;occidente;presencial;4542145;2;2014/1"
"transferencias;2014;1;popular;presencial;10036364;1;2014/1"
"alumbrado publico;2014;2;no definido;presencial;3512474371;634;2014/2"
"alumbrado publico;2014;2;agrario;presencial;3996;1;2014/2"
"alumbrado publico;2014;2;av villas;presencial;69941;11;2014/2"
"alumbrado publico;2014;2;bancolombia;presencial;1443133;135;2014/2"
"alumbrado publico;2014;2;bbva;presencial;687000;1;2014/2"
"alumbrado publico;2014;2;bogota;presencial;10436265;15;2014/2"
"alumbrado publico;2014;2;caja social;presencial;102759;12;2014/2"
