Banco,Contrato,Origen,Dia semana,Tipo archivo recaudo,Cuenta
bancolombia,impuesto predial,p,1,pagos web,148053
bancolombia,impuesto predial,p,0,pagos web,142294
bancolombia,impuesto predial,p,2,pagos web,132898
bancolombia,impuesto predial,p,3,pagos web,120859
bancolombia,impuesto predial,p,4,pagos web,111087
bancolombia,industria y comercio,presencial,2,pagos presencial,64784
bancolombia,industria y comercio,presencial,1,pagos presencial,63092
bancolombia,industria y comercio,p,4,pagos web,62465
bancolombia,industria y comercio,presencial,3,pagos presencial,61085
bancolombia,industria y comercio,p,2,pagos web,59983
bancolombia,industria y comercio,p,1,pagos web,59947
bancolombia,industria y comercio,p,3,pagos web,56467
bancolombia,impuesto predial,p,5,pagos web,54468
bancolombia,industria y comercio,presencial,0,pagos presencial,52671
bancolombia,impuesto predial,p,6,pagos web,51997
bancolombia,industria y comercio,presencial,4,pagos presencial,51501
bancolombia,industria y comercio,p,0,pagos web,48989
bancolombia,impuesto predial,presencial,0,pagos presencial,48274
bancolombia,impuesto predial,presencial,1,pagos presencial,48133
bancolombia,impuesto predial,presencial,2,pagos presencial,46085
bancolombia,impuesto predial,presencial,3,pagos presencial,40211
bancolombia,impuesto predial,presencial,4,pagos presencial,39852
bancolombia - botón bancolombi,impuesto predial,p,1,pagos web,33462
bancolombia - botón bancolombi,impuesto predial,p,2,pagos web,31728
bancolombia - botón bancolombi,impuesto predial,p,0,pagos web,31202
bancolombia - botón bancolombi,impuesto predial,p,3,pagos web,26582
davivienda,movilidad,presencial,1,pagos presencial,25874
davivienda,movilidad,presencial,2,pagos presencial,24455
bancolombia - botón bancolombi,impuesto predial,p,4,pagos web,23384
davivienda,movilidad,presencial,3,pagos presencial,23202
davivienda,movilidad,presencial,4,pagos presencial,22578
davivienda,movilidad,presencial,0,pagos presencial,22109
davivienda,impuesto predial,presencial,1,pagos presencial,18681
davivienda,impuesto predial,presencial,0,pagos presencial,17974
davivienda,impuesto predial,presencial,2,pagos presencial,16888
davivienda,impuesto predial,presencial,3,pagos presencial,15664
bancolombia,impuesto predial,presencial,5,pagos presencial,15527
bancolombia,industria y comercio,presencial,5,pagos presencial,15212
davivienda,impuesto predial,presencial,4,pagos presencial,14870
bancolombia s.a.,impuesto predial,p,1,pagos web,13836
bancolombia s.a.,impuesto predial,p,0,pagos web,13172
bancolombia - botón bancolombi,impuesto predial,p,5,pagos web,12831
bancolombia - botón bancolombi,impuesto predial,p,6,pagos web,12159
bancolombia,industria y comercio,p,5,pagos web,12012
bancolombia s.a.,impuesto predial,p,2,pagos web,11992
banco davivienda,impuesto predial,p,1,pagos web,11857
banco davivienda,impuesto predial,p,0,pagos web,11658
banco davivienda,impuesto predial,p,2,pagos web,10844
bancolombia,circulacion y transito,presencial,2,pagos presencial,10766
bancolombia,circulacion y transito,presencial,3,pagos presencial,10760
bancolombia,circulacion y transito,presencial,1,pagos presencial,10707
bancolombia,circulacion y transito,presencial,4,pagos presencial,10320
davivienda,movilidad,presencial,5,pagos presencial,10193
bancolombia s.a.,impuesto predial,p,3,pagos web,10040
banco davivienda,impuesto predial,p,3,pagos web,9451
bancolombia s.a.,impuesto predial,p,4,pagos web,8955
bancolombia,circulacion y transito,presencial,0,pagos presencial,8877
banco davivienda,impuesto predial,p,4,pagos web,8822
bancolombia,impuesto predial,n,0,pagos web,7297
bancolombia,impuesto predial,n,2,pagos web,7158
bancolombia,impuesto predial,n,1,pagos web,7067
bancolombia,facilidades,p,3,pagos web,6543
bancolombia,facilidades,p,1,pagos web,6098
colpatria,industria y comercio,presencial,1,pagos presencial,6010
bancolombia,impuesto predial,a,1,pagos web,6000
bancolombia,servicios,presencial,3,pagos presencial,5978
bancolombia,servicios,presencial,2,pagos presencial,5948
bancolombia,industria y comercio,p,6,pagos web,5935
bancolombia,facilidades,p,4,pagos web,5909
colpatria,industria y comercio,presencial,2,pagos presencial,5890
bancolombia,facilidades,p,2,pagos web,5890
bancolombia,impuesto predial,n,3,pagos web,5851
colpatria,industria y comercio,presencial,3,pagos presencial,5826
bancolombia,servicios,presencial,1,pagos presencial,5813
bancolombia,impuesto predial,a,0,pagos web,5768
bancolombia,impuesto predial,a,2,pagos web,5651
davivienda,industria y comercio,presencial,2,pagos presencial,5582
davivienda,industria y comercio,presencial,1,pagos presencial,5510
davivienda,industria y comercio,presencial,3,pagos presencial,5344
bancolombia,facilidades,p,0,pagos web,5313
bancolombia,impuesto predial,a,3,pagos web,5190
cotrafa,industria y comercio,presencial,2,pagos presencial,5138
bancolombia,servicios,presencial,4,pagos presencial,5115
cotrafa,industria y comercio,presencial,1,pagos presencial,5105
colpatria,industria y comercio,presencial,4,pagos presencial,5103
bancolombia s.a.,impuesto predial,p,6,pagos web,4920
cotrafa,industria y comercio,presencial,3,pagos presencial,4743
bancolombia,servicios,presencial,0,pagos presencial,4696
banco davivienda,impuesto predial,p,5,pagos web,4689
bancolombia,impuesto predial,a,4,pagos web,4667
banco davivienda,impuesto predial,p,6,pagos web,4601
davivienda,industria y comercio,presencial,0,pagos presencial,4567
bancolombia,impuesto predial,n,4,pagos web,4531
davivienda,industria y comercio,presencial,4,pagos presencial,4517
bancolombia s.a.,impuesto predial,p,5,pagos web,4367
colpatria,industria y comercio,presencial,0,pagos presencial,4333
banco davivienda,industria y comercio,p,1,pagos web,4288
banco bbva colombia s.a.,impuesto predial,p,1,pagos web,4202
banco davivienda,industria y comercio,p,4,pagos web,4189
cotrafa,industria y comercio,presencial,0,pagos presencial,4041
banco davivienda,industria y comercio,p,2,pagos web,4027
cotrafa,industria y comercio,presencial,4,pagos presencial,4024
banco bbva colombia s.a.,impuesto predial,p,0,pagos web,3993
bancolombia,impuesto predial,presencial,6,pagos presencial,3946
banco davivienda,industria y comercio,p,3,pagos web,3927
banco bbva colombia s.a.,impuesto predial,p,2,pagos web,3761
banco bbva colombia s.a.,impuesto predial,p,3,pagos web,3613
bogota_1,industria y comercio,presencial,3,pagos presencial,3581
bancolombia,préstamos hipotecarios,presencial,1,pagos presencial,3575
bogota_1,industria y comercio,presencial,1,pagos presencial,3548
bancolombia,impuesto predial,a,5,pagos web,3514
bogota_1,industria y comercio,presencial,2,pagos presencial,3474
bancolombia,industria y comercio,n,1,pagos web,3456
banco davivienda,industria y comercio,p,0,pagos web,3419
scotiabank colpatria,impuesto predial,p,1,pagos web,3294
banco bbva colombia s.a.,impuesto predial,p,4,pagos web,3265
bancolombia,industria y comercio,presencial,6,pagos presencial,3214
scotiabank colpatria,impuesto predial,p,0,pagos web,3165
bancolombia,industria y comercio,n,2,pagos web,3102
