Banco,Contrato,Origen,Tipo archivo recaudo,Cuenta
bancolombia,impuesto predial,p,pagos web,761656
bancolombia,industria y comercio,presencial,pagos presencial,311559
bancolombia,industria y comercio,p,pagos web,305798
bancolombia,impuesto predial,presencial,pagos presencial,242028
bancolombia - botón bancolombi,impuesto predial,p,pagos web,171348
davivienda,movilidad,presencial,pagos presencial,128601
davivienda,impuesto predial,presencial,pagos presencial,84611
bancolombia s.a.,impuesto predial,p,pagos web,67282
banco davivienda,impuesto predial,p,pagos web,61922
bancolombia,circulacion y transito,presencial,pagos presencial,52446
bancolombia,impuesto predial,n,pagos web,37380
bancolombia,facilidades,p,pagos web,33946
bancolombia,impuesto predial,a,pagos web,33823
colpatria,industria y comercio,presencial,pagos presencial,28674
bancolombia,servicios,presencial,pagos presencial,27747
davivienda,industria y comercio,presencial,pagos presencial,25797
cotrafa,industria y comercio,presencial,pagos presencial,23668
banco bbva colombia s.a.,impuesto predial,p,pagos web,22135
banco davivienda,industria y comercio,p,pagos web,20912
bogota_1,industria y comercio,presencial,pagos presencial,16543
scotiabank colpatria,impuesto predial,p,pagos web,16361
banco de bogota,impuesto predial,p,pagos web,15238
bancolombia,préstamos hipotecarios,presencial,pagos presencial,15209
bancolombia,industria y comercio,n,pagos web,15123
nequi,impuesto predial,p,pagos web,13917
bancolombia,alumbrado publico,presencial,pagos presencial,13318
bancolombia,retencion ica,p,pagos web,12369
occidente,circulacion y transito,presencial,pagos presencial,12140
bancolombia - botón bancolombi,impuesto predial,a,pagos web,12061
bancolombia - botón bancolombi,industria y comercio,p,pagos web,11889
citibank,impuesto predial,p,pagos web,11135
banco caja social,impuesto predial,p,pagos web,10927
bancolombia,multas codigo de policia,presencial,pagos presencial,10694
bancolombia,ingresos no tributarios,presencial,pagos presencial,10692
occidente,industria y comercio,presencial,pagos presencial,10057
bancolombia - botón bancolombi,impuesto predial,n,pagos web,9228
bancolombia,industria y comercio,a,pagos web,9127
banco de occidente,impuesto predial,p,pagos web,8555
banco de occidente,industria y comercio,p,pagos web,8477
popular,circulacion y transito,presencial,pagos presencial,7974
banco de bogota,industria y comercio,p,pagos web,7964
davivienda,circulacion y transito,presencial,pagos presencial,7899
bogota_1,impuesto predial,presencial,pagos presencial,7840
bancolombia,delineación urbana,presencial,pagos presencial,7808
bancolombia,rentas contractuales,presencial,pagos presencial,7765
bancolombia - botón bancolombi,facilidades,p,pagos web,7748
banco colpatria,impuesto predial,p,pagos web,7716
bancolombia s.a.,industria y comercio,p,pagos web,7714
banco bbva colombia s.a.,industria y comercio,p,pagos web,7698
confiar,industria y comercio,presencial,pagos presencial,7577
bbva,impuesto predial,p,pagos web,7283
bancolombia,circulacion y transito,p,pagos web,7014
banco falabella,impuesto predial,p,pagos web,6886
scotiabank colpatria s.a.,impuesto predial,p,pagos web,6410
banco av villas,impuesto predial,p,pagos web,5996
banco itau,impuesto predial,p,pagos web,5295
bancolombia,alumbrado publico,p,pagos web,5229
confiar,impuesto predial,presencial,pagos presencial,5098
bancolombia s.a.,impuesto predial,n,pagos web,4949
compania de financiamiento tuy,impuesto predial,p,pagos web,4857
bancolombia,publicidad exterior visual,p,pagos web,4578
banco caja social,industria y comercio,p,pagos web,4166
bancolombia - botón bancolombi,industria y comercio,n,pagos web,3984
banco cooperativo coopcentral,impuesto predial,p,pagos web,3953
bancolombia,otros ingresos,presencial,pagos presencial,3806
bogota_1,circulacion y transito,presencial,pagos presencial,3755
occidente,impuesto predial,presencial,pagos presencial,3648
confiar,circulacion y transito,presencial,pagos presencial,3518
banco popular,impuesto predial,p,pagos web,3493
banco davivienda,impuesto predial,n,pagos web,3384
scotiabank colpatria,industria y comercio,p,pagos web,3367
bancocajasocial,industria y comercio,presencial,pagos presencial,3350
bancolombia,publicidad exterior visual,presencial,pagos presencial,3295
davivienda,ingresos no tributarios,presencial,pagos presencial,3236
occidente,servicios,presencial,pagos presencial,3218
banco itau,industria y comercio,p,pagos web,3189
itaú,impuesto predial,p,pagos web,3131
bancolombia s.a.,impuesto predial,a,pagos web,3129
bancocajasocial,impuesto predial,presencial,pagos presencial,3126
banco davivienda,facilidades,p,pagos web,3116
cotrafa,circulacion y transito,presencial,pagos presencial,3108
coofinep,industria y comercio,presencial,pagos presencial,3107
bancolombia,rendimientos financieros y recursos no ejecutados,p,pagos web,3044
bancolombia,facilidades,n,pagos web,2996
nu pagamentos sa,impuesto predial,p,pagos web,2981
banco davivienda,impuesto predial,a,pagos web,2954
bbva,industria y comercio,presencial,pagos presencial,2852
"rappipay, s.a.s.",impuesto predial,p,pagos web,2770
nequi,industria y comercio,p,pagos web,2761
bogota_1,publicidad exterior visual,presencial,pagos presencial,2676
citibank,industria y comercio,p,pagos web,2616
"banco davivienda, s.a.",impuesto predial,p,pagos web,2593
banco av villas,industria y comercio,p,pagos web,2444
davivienda,alumbrado publico,presencial,pagos presencial,2331
bancolombia - botón bancolombi,facilidades,n,pagos web,2126
"banco de occidente, s.a.",impuesto predial,p,pagos web,2077
bancolombia,rentas contractuales,p,pagos web,2038
bancolombia,movilidad,p,pagos web,2024
davivienda,préstamos hipotecarios,presencial,pagos presencial,2011
bbva,impuesto predial,presencial,pagos presencial,2006
bancolombia,ingresos no tributarios,p,pagos web,1882
bancolombia,aprov.esp.pub,presencial,pagos presencial,1830
occidente,alumbrado publico,presencial,pagos presencial,1781
banco colpatria pricesmart,impuesto predial,p,pagos web,1740
occidente,rentas contractuales,presencial,pagos presencial,1737
bancolombia s.a.,facilidades,p,pagos web,1710
nequi,facilidades,p,pagos web,1685
popular,industria y comercio,presencial,pagos presencial,1647
banco davivienda,retencion ica,p,pagos web,1633
"itau corpbanca colombia, s.a.",impuesto predial,p,pagos web,1587
confiar cooperativa financiera,impuesto predial,p,pagos web,1549
bancolombia,impuesto telefonico,presencial,pagos presencial,1489
banco de occidente,retencion ica,p,pagos web,1481
banco gnb sudameris,impuesto predial,p,pagos web,1446
bancolombia,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,1445
nequi,impuesto predial,a,pagos web,1439
bbva colombia s.a,impuesto predial,p,pagos web,1411
occidente,préstamos hipotecarios,presencial,pagos presencial,1365
banco de bogota s.a.,impuesto predial,p,pagos web,1361
nequi,impuesto predial,n,pagos web,1345
banco de bogota,retencion ica,p,pagos web,1333
popular,impuesto predial,presencial,pagos presencial,1330
bancoomeva s.a.,impuesto predial,p,pagos web,1312
banco bbva colombia s.a.,impuesto predial,a,pagos web,1276
banco av villas s.a.,impuesto predial,p,pagos web,1269
scotiabank colpatria,impuesto predial,n,pagos web,1235
banco davivienda,industria y comercio,n,pagos web,1215
banco caja social,recursos fonset,p,pagos web,1207
falabella,impuesto predial,p,pagos web,1203
banco bbva colombia s.a.,rendimientos financieros y recursos no ejecutados,p,pagos web,1171
bancolombia,pot.,presencial,pagos presencial,1139
banco de bogota,impuesto predial,n,pagos web,1117
daviplata,impuesto predial,p,pagos web,1107
banco bbva colombia s.a.,impuesto predial,n,pagos web,1098
scotiabank colpatria,rendimientos financieros y recursos no ejecutados,p,pagos web,1087
bancolombia s.a.,industria y comercio,n,pagos web,1064
bancolombia,impuesto telefonico,p,pagos web,1063
bcsc,impuesto predial,p,pagos web,1056
davivienda,rentas contractuales,presencial,pagos presencial,1049
banco bilbao vizcaya argentari,impuesto predial,p,pagos web,1040
banco popular,rendimientos financieros y recursos no ejecutados,p,pagos web,1039
cotrafa,alumbrado publico,presencial,pagos presencial,1030
gnb,industria y comercio,presencial,pagos presencial,1027
bancolombia,transferencias,p,pagos web,1019
bancolombia,movilidad,presencial,pagos presencial,996
banco bbva colombia s.a.,retencion ica,p,pagos web,975
banco colpatria,industria y comercio,p,pagos web,943
bbva,circulacion y transito,presencial,pagos presencial,933
bancolombia,recursos fonset,p,pagos web,931
banco davivienda s.a.,impuesto predial,p,pagos web,931
occidente,ingresos no tributarios,presencial,pagos presencial,921
bancolombia,facilidades,a,pagos web,921
banco bbva colombia s.a.,facilidades,p,pagos web,906
banco falabella,industria y comercio,p,pagos web,878
davivienda,delineación urbana,presencial,pagos presencial,876
avvillas,impuesto predial,presencial,pagos presencial,871
banco davivienda,alumbrado publico,p,pagos web,861
