Banco,Contrato,Origen,Tipo archivo recaudo,Valor pago
bancolombia,industria y comercio,p,pagos web,1612684517750
bancolombia,impuesto predial,p,pagos web,982599816739
banco davivienda,industria y comercio,p,pagos web,321246238859
bancolombia,recursos fonset,p,pagos web,251532021509
bancolombia,industria y comercio,n,pagos web,190416134624
bancolombia,rentas contractuales,p,pagos web,174567354790
banco bbva colombia s.a.,industria y comercio,p,pagos web,126487196869
bancolombia,transferencias,p,pagos web,120464973742
bancolombia,industria y comercio,presencial,pagos presencial,113831574663
bancolombia - botón bancolombi,impuesto predial,p,pagos web,106812709398
bancolombia s.a.,impuesto predial,p,pagos web,102139809462
banco de occidente,industria y comercio,p,pagos web,95683153529
banco davivienda,impuesto predial,p,pagos web,90471990718
citibank,industria y comercio,p,pagos web,87047268108
banco de bogota,industria y comercio,p,pagos web,69122045729
bancolombia,rendimientos financieros y recursos no ejecutados,p,pagos web,69031815846
bancolombia,retencion ica,p,pagos web,66926486007
banco davivienda,industria y comercio,n,pagos web,65232425551
bancolombia,impuesto predial,presencial,pagos presencial,64172427162
bancolombia,impuesto predial,n,pagos web,52598553312
banco davivienda,retencion ica,p,pagos web,51706392788
bancolombia,facilidades,p,pagos web,51658656268
banco de bogota,impuesto predial,p,pagos web,51279099597
occidente,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,50391603894
banco bbva colombia s.a.,impuesto predial,p,pagos web,44988195559
banco de occidente,impuesto predial,p,pagos web,41757009836
banco itau,industria y comercio,p,pagos web,41299864307
gnb,otros ingresos,presencial,pagos presencial,41246801592
davivienda,impuesto telefonico,presencial,pagos presencial,38430731624
davivienda,impuesto predial,presencial,pagos presencial,35355382578
banco de occidente,rendimientos financieros y recursos no ejecutados,p,pagos web,34722435708
scotiabank colpatria,industria y comercio,p,pagos web,34496150608
banco davivienda,recursos fonset,p,pagos web,33407134512
scotiabank colpatria,rendimientos financieros y recursos no ejecutados,p,pagos web,33297807796
bancolombia,delineación urbana,p,pagos web,33082348007
bancolombia,delineación urbana,presencial,pagos presencial,32764398839
davivienda,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,29844076653
banco bbva colombia s.a.,rendimientos financieros y recursos no ejecutados,p,pagos web,29292294673
