Banco,Contrato,Origen,Hora,Tipo archivo recaudo,Cuenta
bancolombia,impuesto predial,p,11,pagos web,65382
bancolombia,impuesto predial,p,10,pagos web,63117
bancolombia,impuesto predial,p,15,pagos web,57573
bancolombia,impuesto predial,p,9,pagos web,55701
bancolombia,impuesto predial,p,14,pagos web,55545
bancolombia,impuesto predial,p,16,pagos web,55166
bancolombia,impuesto predial,p,12,pagos web,52575
bancolombia,impuesto predial,p,17,pagos web,48431
bancolombia,impuesto predial,p,13,pagos web,47508
bancolombia,impuesto predial,p,18,pagos web,41614
bancolombia,impuesto predial,p,8,pagos web,41370
bancolombia,impuesto predial,p,20,pagos web,38793
bancolombia,industria y comercio,presencial,11,pagos presencial,38672
bancolombia,impuesto predial,p,19,pagos web,38600
bancolombia,industria y comercio,presencial,15,pagos presencial,37764
bancolombia,industria y comercio,presencial,10,pagos presencial,37739
bancolombia,industria y comercio,presencial,14,pagos presencial,34881
bancolombia,impuesto predial,p,21,pagos web,32866
bancolombia,industria y comercio,p,15,pagos web,32447
bancolombia,industria y comercio,p,11,pagos web,31726
bancolombia,industria y comercio,presencial,16,pagos presencial,31211
bancolombia,industria y comercio,p,10,pagos web,30007
bancolombia,industria y comercio,p,14,pagos web,29588
bancolombia,impuesto predial,presencial,11,pagos presencial,29107
bancolombia,industria y comercio,p,16,pagos web,29086
bancolombia,industria y comercio,presencial,9,pagos presencial,28740
bancolombia,industria y comercio,presencial,12,pagos presencial,28694
bancolombia,impuesto predial,presencial,10,pagos presencial,28291
bancolombia,impuesto predial,presencial,15,pagos presencial,26827
bancolombia,industria y comercio,p,12,pagos web,25189
bancolombia,impuesto predial,presencial,14,pagos presencial,25056
bancolombia,industria y comercio,p,9,pagos web,24585
bancolombia,impuesto predial,presencial,12,pagos presencial,23349
bancolombia,industria y comercio,presencial,13,pagos presencial,23115
bancolombia,impuesto predial,p,7,pagos web,22727
bancolombia,impuesto predial,presencial,9,pagos presencial,21690
bancolombia,impuesto predial,presencial,16,pagos presencial,21680
bancolombia,industria y comercio,p,13,pagos web,19934
bancolombia,impuesto predial,p,22,pagos web,19847
bancolombia,industria y comercio,presencial,17,pagos presencial,19562
bancolombia,industria y comercio,p,17,pagos web,19238
bancolombia,impuesto predial,presencial,13,pagos presencial,18981
bancolombia,industria y comercio,p,8,pagos web,16820
davivienda,movilidad,presencial,11,pagos presencial,15870
davivienda,movilidad,presencial,10,pagos presencial,15292
bancolombia,impuesto predial,presencial,17,pagos presencial,15049
davivienda,movilidad,presencial,9,pagos presencial,14844
bancolombia,industria y comercio,presencial,8,pagos presencial,14014
davivienda,movilidad,presencial,8,pagos presencial,13892
bancolombia - botón bancolombi,impuesto predial,p,10,pagos web,13731
bancolombia - botón bancolombi,impuesto predial,p,11,pagos web,13485
davivienda,movilidad,presencial,16,pagos presencial,12680
davivienda,movilidad,presencial,12,pagos presencial,12663
bancolombia,impuesto predial,presencial,8,pagos presencial,12434
davivienda,movilidad,presencial,15,pagos presencial,12184
bancolombia - botón bancolombi,impuesto predial,p,9,pagos web,12058
bancolombia - botón bancolombi,impuesto predial,p,15,pagos web,11891
bancolombia - botón bancolombi,impuesto predial,p,16,pagos web,11507
davivienda,impuesto predial,presencial,10,pagos presencial,11475
bancolombia - botón bancolombi,impuesto predial,p,14,pagos web,11462
bancolombia,industria y comercio,p,18,pagos web,11438
davivienda,impuesto predial,presencial,11,pagos presencial,11353
bancolombia - botón bancolombi,impuesto predial,p,12,pagos web,10938
bancolombia - botón bancolombi,impuesto predial,p,13,pagos web,10693
bancolombia - botón bancolombi,impuesto predial,p,17,pagos web,10648
bancolombia,impuesto predial,presencial,18,pagos presencial,10577
davivienda,movilidad,presencial,14,pagos presencial,10553
davivienda,impuesto predial,presencial,15,pagos presencial,10412
bancolombia - botón bancolombi,impuesto predial,p,20,pagos web,10101
bancolombia,industria y comercio,presencial,18,pagos presencial,10017
bancolombia - botón bancolombi,impuesto predial,p,18,pagos web,9999
davivienda,impuesto predial,presencial,9,pagos presencial,9975
bancolombia - botón bancolombi,impuesto predial,p,19,pagos web,9845
davivienda,impuesto predial,presencial,14,pagos presencial,9689
bancolombia - botón bancolombi,impuesto predial,p,8,pagos web,9148
davivienda,movilidad,presencial,13,pagos presencial,8895
bancolombia,impuesto predial,p,23,pagos web,8648
