Banco,Contrato,Origen,Tipo archivo recaudo,periodo,mes,Valor pago,Año_mes
abu dhabi commercial bank,impuesto predial,n,pagos web,2023,2,3958629,2023-02-01
abu dhabi commercial bank,impuesto predial,p,pagos web,2021,2,224933,2021-02-01
abu dhabi commercial bank,impuesto predial,p,pagos web,2021,8,461981,2021-08-01
abu dhabi commercial bank,impuesto predial,p,pagos web,2022,7,506462,2022-07-01
abu dhabi commercial bank,impuesto predial,p,pagos web,2022,8,3135853,2022-08-01
abu dhabi commercial bank,impuesto predial,p,pagos web,2023,5,603544,2023-05-01
abu dhabi commercial bank,impuesto predial,p,pagos web,2023,8,603544,2023-08-01
abu dhabi commercial bank,impuesto predial,p,pagos web,2023,11,603544,2023-11-01
adcb,impuesto predial,p,pagos web,2022,11,41332,2022-11-01
adcb,impuesto predial,p,pagos web,2023,8,3304610,2023-08-01
advancial f.c.u.,impuesto predial,p,pagos web,2023,10,3436960,2023-10-01
aec mexico sa de cv - gstar co,impuesto predial,n,pagos web,2023,2,11886119,2023-02-01
aec mexico sa de cv - gstar co,impuesto predial,p,pagos web,2022,8,1568593,2022-08-01
aec mexico sa de cv - gstar co,impuesto predial,p,pagos web,2022,9,7378060,2022-09-01
aec mexico sa de cv - gstar co,impuesto predial,p,pagos web,2023,3,1586489,2023-03-01
aeromexico,impuesto predial,p,pagos web,2021,5,12214674,2021-05-01
allied irish banks plc,impuesto predial,p,pagos web,2023,3,15182836,2023-03-01
altra f.c.u.,impuesto predial,n,pagos web,2023,2,1390550,2023-02-01
american airlines f.c.u.,impuesto predial,p,pagos web,2023,2,1638001,2023-02-01
american airlines f.c.u.,impuesto predial,p,pagos web,2023,11,7704457,2023-11-01
american express,impuesto predial,a,pagos web,2023,9,334,2023-09-01
american express,impuesto predial,n,pagos web,2023,8,111866,2023-08-01
american express,impuesto predial,n,pagos web,2023,9,9634684,2023-09-01
american express,impuesto predial,p,pagos web,2022,5,4075470,2022-05-01
american express,impuesto predial,p,pagos web,2022,10,3402003,2022-10-01
american express,impuesto predial,p,pagos web,2023,2,4780529,2023-02-01
american express,impuesto predial,p,pagos web,2023,5,242612,2023-05-01
american express,impuesto predial,p,pagos web,2023,9,487016,2023-09-01
american express company,facilidades,n,pagos web,2023,2,3070812,2023-02-01
american express company,facilidades,n,pagos web,2023,3,12383087,2023-03-01
american express company,facilidades,n,pagos web,2023,6,5727947,2023-06-01
american express company,facilidades,p,pagos web,2022,6,138531,2022-06-01
american express company,facilidades,p,pagos web,2022,8,138531,2022-08-01
american express company,facilidades,p,pagos web,2022,9,138531,2022-09-01
american express company,facilidades,p,pagos web,2022,10,138531,2022-10-01
american express company,facilidades,p,pagos web,2022,11,138531,2022-11-01
american express company,facilidades,p,pagos web,2022,12,138531,2022-12-01
american express company,facilidades,p,pagos web,2023,2,5870903,2023-02-01
american express company,impuesto predial,a,pagos web,2022,8,1375494,2022-08-01
american express company,impuesto predial,a,pagos web,2023,2,6592186,2023-02-01
american express company,impuesto predial,a,pagos web,2023,11,6883468,2023-11-01
american express company,impuesto predial,n,pagos web,2022,9,1480766,2022-09-01
american express company,impuesto predial,n,pagos web,2022,10,7026301,2022-10-01
american express company,impuesto predial,n,pagos web,2023,1,4460998,2023-01-01
american express company,impuesto predial,n,pagos web,2023,2,23855014,2023-02-01
american express company,impuesto predial,n,pagos web,2023,3,5750604,2023-03-01
american express company,impuesto predial,n,pagos web,2023,8,2007412,2023-08-01
american express company,impuesto predial,n,pagos web,2023,9,5307170,2023-09-01
american express company,impuesto predial,p,pagos web,2021,4,3407814,2021-04-01
american express company,impuesto predial,p,pagos web,2021,8,3937778,2021-08-01
american express company,impuesto predial,p,pagos web,2021,9,17050444,2021-09-01
american express company,impuesto predial,p,pagos web,2021,11,3407814,2021-11-01
american express company,impuesto predial,p,pagos web,2022,5,336177,2022-05-01
american express company,impuesto predial,p,pagos web,2022,6,2455704,2022-06-01
american express company,impuesto predial,p,pagos web,2022,7,2300527,2022-07-01
american express company,impuesto predial,p,pagos web,2022,8,1381721,2022-08-01
american express company,impuesto predial,p,pagos web,2022,9,434996,2022-09-01
american express company,impuesto predial,p,pagos web,2022,10,2173487,2022-10-01
american express company,impuesto predial,p,pagos web,2022,11,1244916,2022-11-01
american express company,impuesto predial,p,pagos web,2022,12,21124186,2022-12-01
american express company,impuesto predial,p,pagos web,2023,1,12889663,2023-01-01
american express company,impuesto predial,p,pagos web,2023,2,42365193,2023-02-01
american express company,impuesto predial,p,pagos web,2023,3,35636918,2023-03-01
american express company,impuesto predial,p,pagos web,2023,4,31650126,2023-04-01
american express company,impuesto predial,p,pagos web,2023,5,9199451,2023-05-01
american express company,impuesto predial,p,pagos web,2023,6,14971235,2023-06-01
american express company,impuesto predial,p,pagos web,2023,7,28555516,2023-07-01
american express company,impuesto predial,p,pagos web,2023,8,38955857,2023-08-01
american express company,impuesto predial,p,pagos web,2023,9,752246,2023-09-01
american express company,impuesto predial,p,pagos web,2023,10,18311334,2023-10-01
american express company,impuesto predial,p,pagos web,2023,11,13162264,2023-11-01
american express company,impuesto predial,p,pagos web,2023,12,2197318,2023-12-01
american express company,impuesto predial,w,pagos web,2023,9,516035,2023-09-01
american express company,industria y comercio,n,pagos web,2023,2,9121451,2023-02-01
american express company,industria y comercio,n,pagos web,2023,9,14081822,2023-09-01
american express company,industria y comercio,p,pagos web,2022,11,110686,2022-11-01
american express company us,impuesto predial,p,pagos web,2023,2,27568532,2023-02-01
american express idc consumer,impuesto predial,p,pagos web,2023,8,9896770,2023-08-01
american express us,impuesto predial,n,pagos web,2022,11,40954,2022-11-01
american express us,impuesto predial,n,pagos web,2023,2,49235,2023-02-01
american express us,impuesto predial,n,pagos web,2023,3,8820564,2023-03-01
american express us,impuesto predial,n,pagos web,2023,10,10763703,2023-10-01
american express us,impuesto predial,p,pagos web,2021,8,159585,2021-08-01
