Banco,Contrato,Origen,Tipo archivo recaudo,periodo,Mes,Total recaudo,Total transacciones
abu dhabi commercial bank,impuesto predial,n,pagos web,2023,2,3958629,1
abu dhabi commercial bank,impuesto predial,p,pagos web,2021,2,224933,1
abu dhabi commercial bank,impuesto predial,p,pagos web,2021,8,461981,1
abu dhabi commercial bank,impuesto predial,p,pagos web,2022,7,506462,2
abu dhabi commercial bank,impuesto predial,p,pagos web,2022,8,3135853,1
abu dhabi commercial bank,impuesto predial,p,pagos web,2023,5,603544,2
abu dhabi commercial bank,impuesto predial,p,pagos web,2023,8,603544,2
abu dhabi commercial bank,impuesto predial,p,pagos web,2023,11,603544,2
adcb,impuesto predial,p,pagos web,2022,11,41332,1
adcb,impuesto predial,p,pagos web,2023,8,3304610,1
advancial f.c.u.,impuesto predial,p,pagos web,2023,10,3436960,2
aec mexico sa de cv - gstar co,impuesto predial,n,pagos web,2023,2,11886119,1
aec mexico sa de cv - gstar co,impuesto predial,p,pagos web,2022,8,1568593,1
aec mexico sa de cv - gstar co,impuesto predial,p,pagos web,2022,9,7378060,1
aec mexico sa de cv - gstar co,impuesto predial,p,pagos web,2023,3,1586489,1
aeromexico,impuesto predial,p,pagos web,2021,5,12214674,1
allied irish banks plc,impuesto predial,p,pagos web,2023,3,15182836,1
altra f.c.u.,impuesto predial,n,pagos web,2023,2,1390550,1
american airlines f.c.u.,impuesto predial,p,pagos web,2023,2,1638001,1
american airlines f.c.u.,impuesto predial,p,pagos web,2023,11,7704457,1
american express,impuesto predial,a,pagos web,2023,9,334,1
american express,impuesto predial,n,pagos web,2023,8,111866,1
american express,impuesto predial,n,pagos web,2023,9,9634684,2
american express,impuesto predial,p,pagos web,2022,5,4075470,2
american express,impuesto predial,p,pagos web,2022,10,3402003,1
american express,impuesto predial,p,pagos web,2023,2,4780529,2
american express,impuesto predial,p,pagos web,2023,5,242612,1
american express,impuesto predial,p,pagos web,2023,9,487016,2
american express company,facilidades,n,pagos web,2023,2,3070812,1
american express company,facilidades,n,pagos web,2023,3,12383087,1
american express company,facilidades,n,pagos web,2023,6,5727947,2
american express company,facilidades,p,pagos web,2022,6,138531,1
american express company,facilidades,p,pagos web,2022,8,138531,1
american express company,facilidades,p,pagos web,2022,9,138531,1
american express company,facilidades,p,pagos web,2022,10,138531,1
american express company,facilidades,p,pagos web,2022,11,138531,1
american express company,facilidades,p,pagos web,2022,12,138531,1
american express company,facilidades,p,pagos web,2023,2,5870903,1
american express company,impuesto predial,a,pagos web,2022,8,1375494,2
american express company,impuesto predial,a,pagos web,2023,2,6592186,2
american express company,impuesto predial,a,pagos web,2023,11,6883468,1
american express company,impuesto predial,n,pagos web,2022,9,1480766,1
american express company,impuesto predial,n,pagos web,2022,10,7026301,1
american express company,impuesto predial,n,pagos web,2023,1,4460998,1
american express company,impuesto predial,n,pagos web,2023,2,23855014,7
american express company,impuesto predial,n,pagos web,2023,3,5750604,4
american express company,impuesto predial,n,pagos web,2023,8,2007412,1
american express company,impuesto predial,n,pagos web,2023,9,5307170,1
american express company,impuesto predial,p,pagos web,2021,4,3407814,1
american express company,impuesto predial,p,pagos web,2021,8,3937778,2
american express company,impuesto predial,p,pagos web,2021,9,17050444,2
american express company,impuesto predial,p,pagos web,2021,11,3407814,1
american express company,impuesto predial,p,pagos web,2022,5,336177,1
american express company,impuesto predial,p,pagos web,2022,6,2455704,4
american express company,impuesto predial,p,pagos web,2022,7,2300527,2
american express company,impuesto predial,p,pagos web,2022,8,1381721,5
american express company,impuesto predial,p,pagos web,2022,9,434996,1
american express company,impuesto predial,p,pagos web,2022,10,2173487,4
american express company,impuesto predial,p,pagos web,2022,11,1244916,1
american express company,impuesto predial,p,pagos web,2022,12,21124186,7
american express company,impuesto predial,p,pagos web,2023,1,12889663,3
american express company,impuesto predial,p,pagos web,2023,2,42365193,13
american express company,impuesto predial,p,pagos web,2023,3,35636918,10
american express company,impuesto predial,p,pagos web,2023,4,31650126,4
american express company,impuesto predial,p,pagos web,2023,5,9199451,4
american express company,impuesto predial,p,pagos web,2023,6,14971235,7
american express company,impuesto predial,p,pagos web,2023,7,28555516,8
american express company,impuesto predial,p,pagos web,2023,8,38955857,9
american express company,impuesto predial,p,pagos web,2023,9,752246,1
american express company,impuesto predial,p,pagos web,2023,10,18311334,4
american express company,impuesto predial,p,pagos web,2023,11,13162264,5
american express company,impuesto predial,p,pagos web,2023,12,2197318,4
american express company,impuesto predial,w,pagos web,2023,9,516035,1
american express company,industria y comercio,n,pagos web,2023,2,9121451,1
american express company,industria y comercio,n,pagos web,2023,9,14081822,2
american express company,industria y comercio,p,pagos web,2022,11,110686,1
american express company us,impuesto predial,p,pagos web,2023,2,27568532,1
american express idc consumer,impuesto predial,p,pagos web,2023,8,9896770,1
american express us,impuesto predial,n,pagos web,2022,11,40954,1
american express us,impuesto predial,n,pagos web,2023,2,49235,1
american express us,impuesto predial,n,pagos web,2023,3,8820564,1
american express us,impuesto predial,n,pagos web,2023,10,10763703,2
american express us,impuesto predial,p,pagos web,2021,8,159585,1
american express us,impuesto predial,p,pagos web,2021,10,350780,1
american express us,impuesto predial,p,pagos web,2022,6,3476282,2
american express us,impuesto predial,p,pagos web,2022,7,5486234,3
american express us,impuesto predial,p,pagos web,2022,8,728930,1
american express us,impuesto predial,p,pagos web,2022,9,596507,1
american express us,impuesto predial,p,pagos web,2023,1,6713072,3
american express us,impuesto predial,p,pagos web,2023,2,10347494,5
american express us,impuesto predial,p,pagos web,2023,3,21516707,9
american express us,impuesto predial,p,pagos web,2023,4,497905,1
american express us,impuesto predial,p,pagos web,2023,5,1495475,2
american express us,impuesto predial,p,pagos web,2023,7,4506840,3
american express us,impuesto predial,p,pagos web,2023,8,374294,1
american express us consumer,delineación urbana,n,pagos web,2023,6,13277630,1
american express us consumer,facilidades,a,pagos web,2023,2,243823,1
american express us consumer,facilidades,n,pagos web,2023,6,2674517,2
american express us consumer,facilidades,p,pagos web,2023,2,5219138,2
american express us consumer,facilidades,p,pagos web,2023,5,18719044,3
american express us consumer,facilidades,p,pagos web,2023,6,11868434,1
american express us consumer,impuesto predial,a,pagos web,2023,1,850809,1
american express us consumer,impuesto predial,a,pagos web,2023,2,85170,1
american express us consumer,impuesto predial,a,pagos web,2023,3,2244724,1
american express us consumer,impuesto predial,a,pagos web,2023,4,18567550,1
american express us consumer,impuesto predial,n,pagos web,2022,10,10718442,2
american express us consumer,impuesto predial,n,pagos web,2022,12,2673433,1
american express us consumer,impuesto predial,n,pagos web,2023,1,1179746,2
american express us consumer,impuesto predial,n,pagos web,2023,2,10076228,2
american express us consumer,impuesto predial,n,pagos web,2023,3,48506235,8
american express us consumer,impuesto predial,n,pagos web,2023,4,1891873,2
american express us consumer,impuesto predial,n,pagos web,2023,8,5103800,2
american express us consumer,impuesto predial,n,pagos web,2023,9,4439203,2
american express us consumer,impuesto predial,p,pagos web,2021,6,3959571,1
american express us consumer,impuesto predial,p,pagos web,2022,2,880854,1
american express us consumer,impuesto predial,p,pagos web,2022,5,18999990,7
american express us consumer,impuesto predial,p,pagos web,2022,6,6877650,1
american express us consumer,impuesto predial,p,pagos web,2022,7,5121929,8
american express us consumer,impuesto predial,p,pagos web,2022,8,4689212,2
american express us consumer,impuesto predial,p,pagos web,2022,10,1087599,2
american express us consumer,impuesto predial,p,pagos web,2022,11,912412,1
american express us consumer,impuesto predial,p,pagos web,2023,1,10963685,4
american express us consumer,impuesto predial,p,pagos web,2023,2,85075178,19
american express us consumer,impuesto predial,p,pagos web,2023,3,28061181,5
american express us consumer,impuesto predial,p,pagos web,2023,4,13691841,6
american express us consumer,impuesto predial,p,pagos web,2023,5,16262829,7
american express us consumer,impuesto predial,p,pagos web,2023,6,598576,1
american express us consumer,impuesto predial,p,pagos web,2023,7,14668706,7
