contrato;tipo_archivo_recaudo;periodo;mes;total_recaudo;total_transacciones;periodo_mes
alumbrado publico;presencial;2014;1;3736751708;90;2014-1-1
circulacion y transito;presencial;2014;1;407908387;4059;2014-1-1
constructores;presencial;2014;1;383906669;9;2014-1-1
cuotas partes jubilatorias;presencial;2014;1;318233;1;2014-1-1
deguello de ganado;presencial;2014;1;158087465;2;2014-1-1
delineacion urbana;presencial;2014;1;2225490479;239;2014-1-1
espectaculos publicos;presencial;2014;1;347446196;16;2014-1-1
estampilla procultura;presencial;2014;1;141982733;8;2014-1-1
impuesto predial;presencial;2014;1;41309728180;84698;2014-1-1
impuesto telefonico;presencial;2014;1;2311798082;2;2014-1-1
industria y comercio;presencial;2014;1;33512632206;36409;2014-1-1
ingresos no tributarios;presencial;2014;1;10456576966;79631;2014-1-1
otros ingresos;presencial;2014;1;2687736001;549;2014-1-1
otros ingresos tributarios;presencial;2014;1;2282000;1;2014-1-1
publicidad exterior visual;presencial;2014;1;124751944;557;2014-1-1
recursos fonset;presencial;2014;1;7211698284;26;2014-1-1
rentas contractuales;presencial;2014;1;3038626266;410;2014-1-1
retencion ica;presencial;2014;1;3097779595;657;2014-1-1
servicios;presencial;2014;1;1168230570;45530;2014-1-1
sistema de ventas por club;presencial;2014;1;18019816;23;2014-1-1
sobretasa a la gasolina;presencial;2014;1;8279523000;10;2014-1-1
transferencias;presencial;2014;1;11581440258;35;2014-1-1
alumbrado publico;presencial;2014;2;3584684435;949;2014-2-1
circulacion y transito;presencial;2014;2;2270491532;3368;2014-2-1
constructores;presencial;2014;2;192717690;8;2014-2-1
cuotas partes jubilatorias;presencial;2014;2;236618746;4;2014-2-1
deguello de ganado;presencial;2014;2;128337935;2;2014-2-1
delineacion urbana;presencial;2014;2;693736957;325;2014-2-1
espectaculos publicos;presencial;2014;2;677831268;18;2014-2-1
estampilla procultura;presencial;2014;2;13326014;2;2014-2-1
impuesto predial;presencial;2014;2;1,09612E+11;239904;2014-2-1
impuesto telefonico;presencial;2014;2;2378856121;2;2014-2-1
industria y comercio;presencial;2014;2;34405632145;39097;2014-2-1
ingresos no tributarios;presencial;2014;2;11133782649;69197;2014-2-1
otros ingresos;presencial;2014;2;2,13178E+11;788;2014-2-1
otros ingresos tributarios;presencial;2014;2;2907012;1;2014-2-1
publicidad exterior visual;presencial;2014;2;260272926;609;2014-2-1
recursos fonset;presencial;2014;2;2397527461;13;2014-2-1
rentas contractuales;presencial;2014;2;3065858908;315;2014-2-1
retencion ica;presencial;2014;2;88372000;24;2014-2-1
servicios;presencial;2014;2;1285145234;50451;2014-2-1
sistema de ventas por club;presencial;2014;2;10207116;26;2014-2-1
sobretasa a la gasolina;presencial;2014;2;7150533000;9;2014-2-1
transferencias;presencial;2014;2;5142474413;37;2014-2-1
alumbrado publico;presencial;2014;3;3527172710;136;2014-3-1
circulacion y transito;presencial;2014;3;6011206217;4099;2014-3-1
constructores;presencial;2014;3;161459377;9;2014-3-1
cuotas partes jubilatorias;presencial;2014;3;6071805;3;2014-3-1
deguello de ganado;presencial;2014;3;120722192;3;2014-3-1
delineacion urbana;presencial;2014;3;709606400;348;2014-3-1
espectaculos publicos;presencial;2014;3;210633598;12;2014-3-1
estampilla procultura;presencial;2014;3;15542890;4;2014-3-1
impuesto predial;presencial;2014;3;41078897938;135288;2014-3-1
impuesto telefonico;presencial;2014;3;2141748138;1;2014-3-1
industria y comercio;presencial;2014;3;33278610633;39904;2014-3-1
ingresos no tributarios;presencial;2014;3;12330033162;72378;2014-3-1
otros ingresos;presencial;2014;3;1,19211E+11;606;2014-3-1
otros ingresos tributarios;presencial;2014;3;504711;1;2014-3-1
publicidad exterior visual;presencial;2014;3;140470127;586;2014-3-1
recursos fonset;presencial;2014;3;3365582010;19;2014-3-1
rentas contractuales;presencial;2014;3;3092205370;324;2014-3-1
retencion ica;presencial;2014;3;1698207146;605;2014-3-1
servicios;presencial;2014;3;1398573719;56152;2014-3-1
sistema de ventas por club;presencial;2014;3;10245030;25;2014-3-1
sobretasa a la gasolina;presencial;2014;3;7107912000;8;2014-3-1
transferencias;presencial;2014;3;3218692523;35;2014-3-1
